Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",17/03/2022 1:44:02 p.m.,26,26.05,30.8,30.9,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas C,0,3491,40,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,MeasA:Result,Calc1:Average within well,
A01,236976,1.09825,
A01,,,
A01,,,
A01,,,
A02,26320,0.12875,
A02,,,
A02,,,
A02,,,
A03,84755,0.17925,
A03,,,
A03,,,
A03,,,
A04,189320,0.61000,
A04,,,
A04,,,
A04,,,
A05,123748,0.23875,
A05,,,
A05,,,
A05,,,
A06,26226,0.12400,
A06,,,
A06,,,
A06,,,
A07,19029,0.097250,
A07,,,
A07,,,
A07,,,
A08,19579,0.10675,
A08,,,
A08,,,
A08,,,
A09,46342,0.13350,
A09,,,
A09,,,
A09,,,
A10,13426,0.10450,
A10,,,
A10,,,
A10,,,
A11,15945,0.11275,
A11,,,
A11,,,
A11,,,
A12,117924,0.23275,
A12,,,
A12,,,
A12,,,
B01,25866,0.10050,
B01,,,
B01,,,
B01,,,
B02,49651,0.12225,
B02,,,
B02,,,
B02,,,
B03,13556,0.093000,
B03,,,
B03,,,
B03,,,
B04,37134,0.10350,
B04,,,
B04,,,
B04,,,
B05,158414,0.32150,
B05,,,
B05,,,
B05,,,
B06,75192,0.13975,
B06,,,
B06,,,
B06,,,
B07,11364,0.084000,
B07,,,
B07,,,
B07,,,
B08,9973,0.090000,
B08,,,
B08,,,
B08,,,
B09,43001,0.12725,
B09,,,
B09,,,
B09,,,
B10,95905,0.17075,
B10,,,
B10,,,
B10,,,
B11,156798,0.32200,
B11,,,
B11,,,
B11,,,
B12,210330,0.61850,
B12,,,
B12,,,
B12,,,
C01,12355,0.11275,
C01,,,
C01,,,
C01,,,
C02,181784,0.64850,
C02,,,
C02,,,
C02,,,
C03,37948,0.11900,
C03,,,
C03,,,
C03,,,
C04,11645,0.089750,
C04,,,
C04,,,
C04,,,
C05,227266,0.74825,
C05,,,
C05,,,
C05,,,
C06,87112,0.16050,
C06,,,
C06,,,
C06,,,
C07,68648,0.13300,
C07,,,
C07,,,
C07,,,
C08,104049,0.18850,
C08,,,
C08,,,
C08,,,
C09,20210,0.096750,
C09,,,
C09,,,
C09,,,
C10,65394,0.12775,
C10,,,
C10,,,
C10,,,
C11,51949,0.15625,
C11,,,
C11,,,
C11,,,
C12,28765,0.10425,
C12,,,
C12,,,
C12,,,
D01,15248,0.10375,
D01,,,
D01,,,
D01,,,
D02,81499,0.16000,
D02,,,
D02,,,
D02,,,
D03,10465,0.12425,
D03,,,
D03,,,
D03,,,
D04,13697,0.096000,
D04,,,
D04,,,
D04,,,
D05,90126,0.17050,
D05,,,
D05,,,
D05,,,
D06,29408,0.10325,
D06,,,
D06,,,
D06,,,
D07,121424,0.25075,
D07,,,
D07,,,
D07,,,
D08,25704,0.11875,
D08,,,
D08,,,
D08,,,
D09,27701,0.10650,
D09,,,
D09,,,
D09,,,
D10,91459,0.16550,
D10,,,
D10,,,
D10,,,
D11,92030,0.16275,
D11,,,
D11,,,
D11,,,
D12,43751,0.11425,
D12,,,
D12,,,
D12,,,
E01,40942,0.11725,
E01,,,
E01,,,
E01,,,
E02,147235,0.31125,
E02,,,
E02,,,
E02,,,
E03,28785,0.14100,
E03,,,
E03,,,
E03,,,
E04,17453,0.10975,
E04,,,
E04,,,
E04,,,
E05,15616,0.091750,
E05,,,
E05,,,
