Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",17/03/2022 1:40:57 p.m.,25.95,26,30.7,30.8,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas C,0,3507,40,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,MeasA:Result,Calc1:Average within well,
A01,162877,0.35475,
A01,,,
A01,,,
A01,,,
A02,77039,0.14725,
A02,,,
A02,,,
A02,,,
A03,45294,0.11425,
A03,,,
A03,,,
A03,,,
A04,12349,0.089000,
A04,,,
A04,,,
A04,,,
A05,11352,0.091250,
A05,,,
A05,,,
A05,,,
A06,14462,0.10150,
A06,,,
A06,,,
A06,,,
A07,125899,0.23475,
A07,,,
A07,,,
A07,,,
A08,87624,0.15450,
A08,,,
A08,,,
A08,,,
A09,12162,0.096000,
A09,,,
A09,,,
A09,,,
A10,11943,0.086250,
A10,,,
A10,,,
A10,,,
A11,16970,0.089500,
A11,,,
A11,,,
A11,,,
A12,131746,0.28175,
A12,,,
A12,,,
A12,,,
B01,39678,0.12875,
B01,,,
B01,,,
B01,,,
B02,37812,0.14225,
B02,,,
B02,,,
B02,,,
B03,10300,0.091750,
B03,,,
B03,,,
B03,,,
B04,35587,0.12675,
B04,,,
B04,,,
B04,,,
B05,121159,0.21025,
B05,,,
B05,,,
B05,,,
B06,26870,0.092500,
B06,,,
B06,,,
B06,,,
B07,41261,0.12700,
B07,,,
B07,,,
B07,,,
B08,513,0.049000,
B08,,,
B08,,,
B08,,,
B09,178257,0.36300,
B09,,,
B09,,,
B09,,,
B10,47876,0.14525,
B10,,,
B10,,,
B10,,,
B11,167054,0.32375,
B11,,,
B11,,,
B11,,,
B12,12938,0.090750,
B12,,,
B12,,,
B12,,,
C01,7143,0.091750,
C01,,,
C01,,,
C01,,,
C02,185730,0.44475,
C02,,,
C02,,,
C02,,,
C03,9044,0.083500,
C03,,,
C03,,,
C03,,,
C04,47563,0.10750,
C04,,,
C04,,,
C04,,,
C05,63895,0.17275,
C05,,,
C05,,,
C05,,,
C06,38449,0.10000,
C06,,,
C06,,,
C06,,,
C07,139364,0.25325,
C07,,,
C07,,,
C07,,,
C08,106783,0.18050,
C08,,,
C08,,,
C08,,,
C09,48789,0.15425,
C09,,,
C09,,,
C09,,,
C10,6596,0.085500,
C10,,,
C10,,,
C10,,,
C11,136850,0.25150,
C11,,,
C11,,,
C11,,,
C12,141976,0.26100,
C12,,,
C12,,,
C12,,,
D01,12794,0.10950,
D01,,,
D01,,,
D01,,,
D02,528,0.058750,
D02,,,
D02,,,
D02,,,
D03,7874,0.083000,
D03,,,
D03,,,
D03,,,
D04,57058,0.16175,
D04,,,
D04,,,
D04,,,
D05,9670,0.082750,
D05,,,
D05,,,
D05,,,
D06,35470,0.12925,
D06,,,
D06,,,
D06,,,
D07,8237,0.083000,
D07,,,
D07,,,
D07,,,
D08,57320,0.16600,
D08,,,
D08,,,
D08,,,
D09,12659,0.091750,
D09,,,
D09,,,
D09,,,
D10,38101,0.13350,
D10,,,
D10,,,
D10,,,
D11,35237,0.12950,
D11,,,
D11,,,
D11,,,
D12,9926,0.086500,
D12,,,
D12,,,
D12,,,
E01,48846,0.16200,
E01,,,
E01,,,
E01,,,
E02,56586,0.16725,
E02,,,
E02,,,
E02,,,
E03,10899,0.089250,
E03,,,
E03,,,
E03,,,
E04,9034,0.084500,
E04,,,
E04,,,
E04,,,
E05,8452,0.087750,
E05,,,
E05,,,
E05,,,
E06,10374,0.085500,
E06,,,
E06,,,
E06,,,
E07,66854,0.18400,
E07,,,
E07,,,
E07,,,
E08,7981,0.083250,
E08,,,
E08,,,
E08,,,
E09,15087,0.087500,
E09,,,
E09,,,
E09,,,
E10,121877,0.21125,
E10,,,
E10,,,
E10,,,
E11,95658,0.16200,
E11,,,
E11,,,
E11,,,
E12,36607,0.10700,
E12,,,
E12,,,
E12,,,
F01,157723,0.44725,
F01,,,
F01,,,
F01,,,
F02,13034,0.092250,
F02,,,
F02,,,
F02,,,
F03,29952,0.10650,
F03,,,
F03,,,
F03,,,
F04,12762,0.087000,
F04,,,
F04,,,
F04,,,
F05,12681,0.093250,
F05,,,
F05,,,
F05,,,
F06,13106,0.091750,
F06,,,
F06,,,
F06,,,
F07,12459,0.087250,
F07,,,
F07,,,
F07,,,
F08,240696,0.79275,
F08,,,
F08,,,
F08,,,
F09,8590,0.091500,
F09,,,
F09,,,
F09,,,
F10,22883,0.11050,
F10,,,
F10,,,
F10,,,
F11,182479,0.57775,
F11,,,
F11,,,
F11,,,
F12,212762,0.80200,
F12,,,
F12,,,
F12,,,
G01,45681,0.13275,
G01,,,
G01,,,
G01,,,
G02,171196,0.55650,
G02,,,
G02,,,
G02,,,
G03,101401,0.18525,
G03,,,
G03,,,
G03,,,
G04,6650,0.079500,
G04,,,
G04,,,
G04,,,
G05,7077,0.087500,
G05,,,
G05,,,
G05,,,
G06,39548,0.10225,
G06,,,
G06,,,
G06,,,
G07,9009,0.088750,
G07,,,
G07,,,
G07,,,
G08,9344,0.088250,
G08,,,
G08,,,
G08,,,
G09,14786,0.099250,
G09,,,
G09,,,
G09,,,
G10,50516,0.11325,
G10,,,
G10,,,
G10,,,
G11,48187,0.10875,
G11,,,
G11,,,
G11,,,
G12,110418,0.18900,
G12,,,
G12,,,
G12,,,
H01,17726,0.12675,
H01,,,
H01,,,
H01,,,
H02,19238,0.11875,
H02,,,
H02,,,
H02,,,
H03,9407,0.096500,
H03,,,
H03,,,
H03,,,
H04,33061,0.13400,
H04,,,
H04,,,
H04,,,
H05,184064,0.62500,
H05,,,
H05,,,
H05,,,
H06,17697,0.093750,
H06,,,
H06,,,
H06,,,
H07,13031,0.092250,
H07,,,
H07,,,
H07,,,
H08,60682,0.17750,
H08,,,
H08,,,
H08,,,
H09,24180,0.10150,
H09,,,
H09,,,
H09,,,
H10,24456,0.10675,
H10,,,
H10,,,
H10,,,
H11,24335,0.11975,
H11,,,
H11,,,
H11,,,
H12,12721,0.10275,
H12,,,
H12,,,
H12,,,

Basic assay information 
Assay ID: ,,,,1893
Assay Started: ,,,,17/03/2022 1:38:44 p.m.
Assay Finished: ,,,,17/03/2022 1:41:08 p.m.
Assay Exported: ,,,,17/03/2022 1:41:47 p.m.
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100161
Protocol Name: ,,,,Mark_Pyo_AbsEm
Serial#: ,,,,="23000214"



Protocol information
Protocol:
Protocol name,,,,Mark_Pyo_AbsEm
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
