Plate information ,,,,,,,,,,,,
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,,,,,
1,1,,17/03/2022 1:54:25 p.m.,26.1,26.1,30.7,30.9,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Background information,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,
1,Meas C,0,3212,40,00:00.0,De=1st Ex=Btm Em=N/A,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Well,MeasA:Result,Calc1:Average within well,,,,,,,,,,
A01,81358,0.2275,,,,,,,,,,
A01,,,,,,,,,,,,
A01,,,,,,,,,,,,
A01,,,,,,,,,,,,
A02,179638,0.501,,,,,,,,,,
A02,,,,,,,,,,,,
A02,,,,,,,,,,,,
A02,,,,,,,,,,,,
A03,47985,0.15175,,,,,,,,,,
A03,,,,,,,,,,,,
A03,,,,,,,,,,,,
A03,,,,,,,,,,,,
A04,228227,0.89325,,,,,,,,,,
A04,,,,,,,,,,,,
A04,,,,,,,,,,,,
A04,,,,,,,,,,,,
A05,87338,0.23125,,,,,,,,,,
A05,,,,,,,,,,,,
A05,,,,,,,,,,,,
A05,,,,,,,,,,,,
A06,9660,0.1005,,,,,,,,,,
A06,,,,,,,,,,,,
A06,,,,,,,,,,,,
A06,,,,,,,,,,,,
A07,13025,0.10475,,,,,,,,,,
A07,,,,,,,,,,,,
A07,,,,,,,,,,,,
A07,,,,,,,,,,,,
A08,11853,0.103,,,,,,,,,,
A08,,,,,,,,,,,,
A08,,,,,,,,,,,,
A08,,,,,,,,,,,,
A09,14065,0.14075,,,,,,,,,,
A09,,,,,,,,,,,,
A09,,,,,,,,,,,,
A09,,,,,,,,,,,,
A10,20945,0.119,,,,,,,,,,
A10,,,,,,,,,,,,
A10,,,,,,,,,,,,
A10,,,,,,,,,,,,
A11,28756,0.14525,,,,,,,,,,
A11,,,,,,,,,,,,
A11,,,,,,,,,,,,
A11,,,,,,,,,,,,
A12,45885,0.20225,,,,,,,,,,
A12,,,,,,,,,,,,
A12,,,,,,,,,,,,
A12,,,,,,,,,,,,
B01,56061,0.1395,,,,,,,,,,
B01,,,,,,,,,,,,
B01,,,,,,,,,,,,
B01,,,,,,,,,,,,
B02,9243,0.1065,,,,,,,,,,
B02,,,,,,,,,,,,
B02,,,,,,,,,,,,
B02,,,,,,,,,,,,
B03,10439,0.103,,,,,,,,,,
B03,,,,,,,,,,,,
B03,,,,,,,,,,,,
B03,,,,,,,,,,,,
B04,9913,0.09175,,,,,,,,,,
B04,,,,,,,,,,,,
B04,,,,,,,,,,,,
B04,,,,,,,,,,,,
B05,11091,0.093,,,,,,,,,,
B05,,,,,,,,,,,,
B05,,,,,,,,,,,,
B05,,,,,,,,,,,,
B06,10532,0.091,,,,,,,,,,
B06,,,,,,,,,,,,
B06,,,,,,,,,,,,
B06,,,,,,,,,,,,
B07,10852,0.0965,,,,,,,,,,
B07,,,,,,,,,,,,
B07,,,,,,,,,,,,
B07,,,,,,,,,,,,
B08,21392,0.0995,,,,,,,,,,
B08,,,,,,,,,,,,
B08,,,,,,,,,,,,
B08,,,,,,,,,,,,
B09,20982,0.126,,,,,,,,,,
B09,,,,,,,,,,,,
B09,,,,,,,,,,,,
B09,,,,,,,,,,,,
B10,18815,0.10025,,,,,,,,,,
B10,,,,,,,,,,,,
B10,,,,,,,,,,,,
B10,,,,,,,,,,,,
B11,19432,0.109,,,,,,,,,,
B11,,,,,,,,,,,,
B11,,,,,,,,,,,,
B11,,,,,,,,,,,,
B12,27823,0.119,,,,,,,,,,
B12,,,,,,,,,,,,
B12,,,,,,,,,,,,
B12,,,,,,,,,,,,
C01,11251,0.112,,,,,,,,,,
C01,,,,,,,,,,,,
C01,,,,,,,,,,,,
C01,,,,,,,,,,,,
C02,44217,0.1475,,,,,,,,,,
C02,,,,,,,,,,,,
C02,,,,,,,,,,,,
C02,,,,,,,,,,,,
C03,11169,0.1065,,,,,,,,,,
C03,,,,,,,,,,,,
C03,,,,,,,,,,,,
C03,,,,,,,,,,,,
C04,21242,0.09725,,,,,,,,,,
C04,,,,,,,,,,,,
C04,,,,,,,,,,,,
C04,,,,,,,,,,,,
