Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",18/03/2022 12:08:47 p.m.,27.95,27.95,30.6,30.7,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas C,0,3190,40,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,MeasA:Result,Calc1:Average within well,
A01,68045,0.21575,
A01,,,
A01,,,
A01,,,
A02,160341,0.39400,
A02,,,
A02,,,
A02,,,
A03,28102,0.13750,
A03,,,
A03,,,
A03,,,
A04,211152,0.72875,
A04,,,
A04,,,
A04,,,
A05,63868,0.20200,
A05,,,
A05,,,
A05,,,
A06,8342,0.098500,
A06,,,
A06,,,
A06,,,
A07,10646,0.10600,
A07,,,
A07,,,
A07,,,
A08,9455,0.11575,
A08,,,
A08,,,
A08,,,
A09,11832,0.12925,
A09,,,
A09,,,
A09,,,
A10,18657,0.10975,
A10,,,
A10,,,
A10,,,
A11,21462,0.11925,
A11,,,
A11,,,
A11,,,
A12,40488,0.14825,
A12,,,
A12,,,
A12,,,
B01,60557,0.13650,
B01,,,
B01,,,
B01,,,
B02,16330,0.11125,
B02,,,
B02,,,
B02,,,
B03,8624,0.087500,
B03,,,
B03,,,
B03,,,
B04,10684,0.10175,
B04,,,
B04,,,
B04,,,
B05,13039,0.10475,
B05,,,
B05,,,
B05,,,
B06,13101,0.10575,
B06,,,
B06,,,
B06,,,
B07,9726,0.093750,
B07,,,
B07,,,
B07,,,
B08,20665,0.095500,
B08,,,
B08,,,
B08,,,
B09,19818,0.089250,
B09,,,
B09,,,
B09,,,
B10,17483,0.10450,
B10,,,
B10,,,
B10,,,
B11,14637,0.090250,
B11,,,
B11,,,
B11,,,
B12,19919,0.092250,
B12,,,
B12,,,
B12,,,
C01,7748,0.091250,
C01,,,
C01,,,
C01,,,
C02,23986,0.12675,
C02,,,
C02,,,
C02,,,
C03,8954,0.089250,
C03,,,
C03,,,
C03,,,
C04,24198,0.10250,
C04,,,
C04,,,
C04,,,
C05,31462,0.12100,
C05,,,
C05,,,
C05,,,
C06,19669,0.11250,
C06,,,
C06,,,
C06,,,
C07,9170,0.095000,
C07,,,
C07,,,
C07,,,
C08,13152,0.10725,
C08,,,
C08,,,
C08,,,
C09,25250,0.11750,
C09,,,
C09,,,
C09,,,
C10,11814,0.10300,
C10,,,
C10,,,
C10,,,
C11,21024,0.067750,
C11,,,
C11,,,
C11,,,
C12,10842,0.090750,
C12,,,
C12,,,
C12,,,
D01,163231,0.67000,
D01,,,
D01,,,
D01,,,
D02,3298,0.10125,
D02,,,
D02,,,
D02,,,
D03,177355,0.72025,
D03,,,
D03,,,
D03,,,
D04,1393,0.11750,
D04,,,
D04,,,
D04,,,
D05,184237,0.72975,
D05,,,
D05,,,
D05,,,
D06,1326,0.10450,
D06,,,
D06,,,
D06,,,
D07,159,0.046500,
D07,,,
D07,,,
D07,,,
D08,182,0.050250,
D08,,,
D08,,,
D08,,,
D09,170,0.042000,
D09,,,
D09,,,
D09,,,
D10,189,0.040500,
D10,,,
D10,,,
D10,,,
D11,176,0.043750,
D11,,,
D11,,,
D11,,,
D12,195,0.040000,
D12,,,
D12,,,
D12,,,
E01,149547,0.33250,
E01,,,
E01,,,
E01,,,
E02,25935,0.093500,
E02,,,
E02,,,
E02,,,
E03,17750,0.077250,
E03,,,
E03,,,
E03,,,
E04,30183,0.11125,
E04,,,
E04,,,
E04,,,
E05,16551,0.10100,
E05,,,
E05,,,
E05,,,
E06,35517,0.11175,
E06,,,
E06,,,
E06,,,
E07,16946,0.10025,
E07,,,
E07,,,
E07,,,
E08,35353,0.13225,
E08,,,
E08,,,
E08,,,
E09,7699,0.082250,
E09,,,
E09,,,
E09,,,
E10,15309,0.10000,
E10,,,
E10,,,
E10,,,
E11,44674,0.11375,
E11,,,
E11,,,
E11,,,
E12,14399,0.099000,
E12,,,
E12,,,
E12,,,
F01,21260,0.11450,
F01,,,
F01,,,
F01,,,
F02,132192,0.28250,
F02,,,
F02,,,
F02,,,
F03,98682,0.18900,
F03,,,
F03,,,
F03,,,
F04,14663,0.092500,
F04,,,
F04,,,
F04,,,
F05,43996,0.11425,
F05,,,
F05,,,
F05,,,
F06,528,0.048250,
F06,,,
F06,,,
F06,,,
F07,18401,0.067000,
F07,,,
F07,,,
F07,,,
F08,13324,0.069500,
F08,,,
F08,,,
F08,,,
F09,19063,0.071000,
F09,,,
F09,,,
F09,,,
F10,16225,0.070500,
F10,,,
F10,,,
F10,,,
F11,31124,0.081000,
F11,,,
F11,,,
F11,,,
F12,23449,0.082750,
F12,,,
F12,,,
F12,,,
G01,144,0.049750,
G01,,,
G01,,,
G01,,,
G02,141,0.051250,
G02,,,
G02,,,
G02,,,
G03,130,0.051500,
G03,,,
G03,,,
G03,,,
G04,141,0.050500,
G04,,,
G04,,,
G04,,,
G05,155,0.050000,
G05,,,
G05,,,
G05,,,
G06,159,0.051750,
G06,,,
G06,,,
G06,,,
G07,160,0.050750,
G07,,,
G07,,,
G07,,,
G08,158,0.051000,
G08,,,
G08,,,
G08,,,
G09,179,0.051250,
G09,,,
G09,,,
G09,,,
G10,154,0.051250,
G10,,,
G10,,,
G10,,,
G11,169,0.052000,
G11,,,
G11,,,
G11,,,
G12,136,0.050500,
G12,,,
G12,,,
G12,,,
H01,178,0.050250,
H01,,,
H01,,,
H01,,,
H02,169,0.048750,
H02,,,
H02,,,
H02,,,
H03,171,0.050000,
H03,,,
H03,,,
H03,,,
H04,170,0.049500,
H04,,,
H04,,,
H04,,,
H05,186,0.051250,
H05,,,
H05,,,
H05,,,
H06,151,0.050000,
H06,,,
H06,,,
H06,,,
H07,129,0.049500,
H07,,,
H07,,,
H07,,,
H08,163,0.052750,
H08,,,
H08,,,
H08,,,
H09,148,0.050000,
H09,,,
H09,,,
H09,,,
H10,173,0.052000,
H10,,,
H10,,,
H10,,,
H11,187,0.050250,
H11,,,
H11,,,
H11,,,
H12,145,0.051750,
H12,,,
H12,,,
H12,,,

Basic assay information 
Assay ID: ,,,,1908
Assay Started: ,,,,18/03/2022 12:06:34 p.m.
Assay Finished: ,,,,18/03/2022 12:08:57 p.m.
Assay Exported: ,,,,18/03/2022 12:10:02 p.m.
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100161
Protocol Name: ,,,,Mark_Pyo_AbsEm
Serial#: ,,,,="23000214"



Protocol information
Protocol:
Protocol name,,,,Mark_Pyo_AbsEm
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
