Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",23/03/2022 12:47:39 p.m.,27.55,27.55,31,31.1,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas C,0,2895,40,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,MeasA:Result,Calc1:Average within well,
A01,21866,0.075500,
A01,,,
A01,,,
A01,,,
A02,61607,0.11150,
A02,,,
A02,,,
A02,,,
A03,189570,0.45225,
A03,,,
A03,,,
A03,,,
A04,135806,0.24750,
A04,,,
A04,,,
A04,,,
A05,77372,0.12575,
A05,,,
A05,,,
A05,,,
A06,183733,0.72800,
A06,,,
A06,,,
A06,,,
A07,30342,0.097750,
A07,,,
A07,,,
A07,,,
A08,47681,0.093000,
A08,,,
A08,,,
A08,,,
A09,184361,0.45950,
A09,,,
A09,,,
A09,,,
A10,41746,0.096250,
A10,,,
A10,,,
A10,,,
A11,18935,0.080500,
A11,,,
A11,,,
A11,,,
A12,54870,0.11275,
A12,,,
A12,,,
A12,,,
B01,185547,0.46650,
B01,,,
B01,,,
B01,,,
B02,101398,0.17600,
B02,,,
B02,,,
B02,,,
B03,13209,0.066500,
B03,,,
B03,,,
B03,,,
B04,143730,0.27300,
B04,,,
B04,,,
B04,,,
B05,79450,0.13225,
B05,,,
B05,,,
B05,,,
B06,15670,0.068500,
B06,,,
B06,,,
B06,,,
B07,25596,0.075000,
B07,,,
B07,,,
B07,,,
B08,16050,0.066500,
B08,,,
B08,,,
B08,,,
B09,47220,0.095500,
B09,,,
B09,,,
B09,,,
B10,171374,0.37525,
B10,,,
B10,,,
B10,,,
B11,110015,0.19375,
B11,,,
B11,,,
B11,,,
B12,35934,0.084500,
B12,,,
B12,,,
B12,,,
C01,81167,0.12825,
C01,,,
C01,,,
C01,,,
C02,19844,0.070500,
C02,,,
C02,,,
C02,,,
C03,32239,0.10000,
C03,,,
C03,,,
C03,,,
C04,27234,0.092250,
C04,,,
C04,,,
C04,,,
C05,106541,0.17650,
C05,,,
C05,,,
C05,,,
C06,9779,0.058000,
C06,,,
C06,,,
C06,,,
C07,118591,0.20125,
C07,,,
C07,,,
C07,,,
C08,155000,0.33250,
C08,,,
C08,,,
C08,,,
C09,165889,0.35825,
C09,,,
C09,,,
C09,,,
C10,160716,0.53850,
C10,,,
C10,,,
C10,,,
C11,149325,0.31750,
C11,,,
C11,,,
C11,,,
C12,142503,0.30650,
C12,,,
C12,,,
C12,,,
D01,46191,0.092500,
D01,,,
D01,,,
D01,,,
D02,58822,0.14850,
D02,,,
D02,,,
D02,,,
D03,21827,0.088000,
D03,,,
D03,,,
D03,,,
D04,57928,0.13775,
D04,,,
D04,,,
D04,,,
D05,66118,0.14400,
D05,,,
D05,,,
D05,,,
D06,23284,0.073500,
D06,,,
D06,,,
D06,,,
D07,37081,0.082000,
D07,,,
D07,,,
D07,,,
D08,44754,0.085250,
D08,,,
D08,,,
D08,,,
D09,55899,0.10375,
D09,,,
D09,,,
D09,,,
D10,8948,0.063500,
D10,,,
D10,,,
D10,,,
D11,16103,0.066500,
D11,,,
D11,,,
D11,,,
D12,98142,0.18500,
D12,,,
D12,,,
D12,,,
E01,9909,0.066250,
E01,,,
E01,,,
E01,,,
E02,11818,0.065000,
E02,,,
E02,,,
E02,,,
E03,39826,0.10525,
E03,,,
E03,,,
E03,,,
E04,145172,0.29275,
E04,,,
E04,,,
E04,,,
E05,47065,0.095000,
E05,,,
E05,,,
E05,,,
E06,164205,0.37050,
E06,,,
E06,,,
E06,,,
E07,20279,0.069250,
E07,,,
E07,,,
E07,,,
E08,105269,0.18600,
E08,,,
E08,,,
E08,,,
E09,23534,0.074000,
E09,,,
E09,,,
E09,,,
E10,45069,0.089000,
E10,,,
E10,,,
E10,,,
E11,12472,0.070750,
E11,,,
E11,,,
E11,,,
E12,44080,0.093500,
E12,,,
E12,,,
E12,,,
F01,77338,0.12675,
F01,,,
F01,,,
F01,,,
F02,131796,0.26075,
F02,,,
F02,,,
F02,,,
F03,12871,0.076000,
F03,,,
F03,,,
F03,,,
F04,14775,0.069000,
F04,,,
F04,,,
F04,,,
F05,117844,0.21350,
F05,,,
F05,,,
F05,,,
F06,16594,0.071750,
F06,,,
F06,,,
F06,,,
F07,23583,0.079750,
F07,,,
F07,,,
F07,,,
F08,105716,0.18250,
F08,,,
F08,,,
F08,,,
F09,3192,0.057250,
F09,,,
F09,,,
F09,,,
F10,30627,0.078250,
F10,,,
F10,,,
F10,,,
F11,15683,0.068500,
F11,,,
F11,,,
F11,,,
F12,17498,0.091750,
F12,,,
F12,,,
F12,,,
G01,184546,0.70450,
G01,,,
G01,,,
G01,,,
G02,15430,0.081250,
G02,,,
G02,,,
G02,,,
G03,36776,0.085000,
G03,,,
G03,,,
G03,,,
G04,39245,0.087750,
G04,,,
G04,,,
G04,,,
G05,30451,0.076750,
G05,,,
G05,,,
G05,,,
G06,16925,0.066500,
G06,,,
G06,,,
G06,,,
G07,61758,0.15400,
G07,,,
G07,,,
G07,,,
G08,68556,0.11725,
G08,,,
G08,,,
G08,,,
G09,156001,0.27150,
G09,,,
G09,,,
G09,,,
G10,15477,0.077000,
G10,,,
G10,,,
G10,,,
G11,53848,0.16950,
G11,,,
G11,,,
G11,,,
G12,44867,0.097750,
G12,,,
G12,,,
G12,,,
H01,118177,0.21825,
H01,,,
H01,,,
H01,,,
H02,8312,0.070000,
H02,,,
