Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",23/03/2022 1:22:07 p.m.,27.5,27.6,31.8,32,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas C,0,3180,40,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,MeasA:Result,Calc1:Average within well,
A01,55058,0.14875,
A01,,,
A01,,,
A01,,,
A02,91055,0.18525,
A02,,,
A02,,,
A02,,,
A03,12816,0.11100,
A03,,,
A03,,,
A03,,,
A04,74576,0.15050,
A04,,,
A04,,,
A04,,,
A05,24438,0.10875,
A05,,,
A05,,,
A05,,,
A06,20280,0.095750,
A06,,,
A06,,,
A06,,,
A07,21614,0.11175,
A07,,,
A07,,,
A07,,,
A08,138181,0.28525,
A08,,,
A08,,,
A08,,,
A09,46605,0.12475,
A09,,,
A09,,,
A09,,,
A10,101380,0.19100,
A10,,,
A10,,,
A10,,,
A11,113397,0.23625,
A11,,,
A11,,,
A11,,,
A12,38498,0.13400,
A12,,,
A12,,,
A12,,,
B01,163647,0.69675,
B01,,,
B01,,,
B01,,,
B02,8187,0.10300,
B02,,,
B02,,,
B02,,,
B03,17055,0.089500,
B03,,,
B03,,,
B03,,,
B04,110081,0.21300,
B04,,,
B04,,,
B04,,,
B05,9320,0.088250,
B05,,,
B05,,,
B05,,,
B06,69325,0.13925,
B06,,,
B06,,,
B06,,,
B07,7241,0.087000,
B07,,,
B07,,,
B07,,,
B08,8727,0.090500,
B08,,,
B08,,,
B08,,,
B09,17831,0.10375,
B09,,,
B09,,,
B09,,,
B10,22565,0.10450,
B10,,,
B10,,,
B10,,,
B11,23502,0.11775,
B11,,,
B11,,,
B11,,,
B12,12420,0.11025,
B12,,,
B12,,,
B12,,,
C01,21023,0.10750,
C01,,,
C01,,,
C01,,,
C02,22697,0.10600,
C02,,,
C02,,,
C02,,,
C03,19449,0.095750,
C03,,,
C03,,,
C03,,,
C04,23172,0.099500,
C04,,,
C04,,,
C04,,,
C05,48897,0.18050,
C05,,,
C05,,,
C05,,,
C06,15002,0.087000,
C06,,,
C06,,,
C06,,,
C07,25347,0.10625,
C07,,,
C07,,,
C07,,,
C08,32025,0.10850,
C08,,,
C08,,,
C08,,,
C09,32179,0.12225,
C09,,,
C09,,,
C09,,,
C10,60751,0.13500,
C10,,,
C10,,,
C10,,,
C11,24973,0.11650,
C11,,,
C11,,,
C11,,,
C12,21870,0.11900,
C12,,,
C12,,,
C12,,,
D01,38919,0.14000,
D01,,,
D01,,,
D01,,,
D02,15135,0.094500,
D02,,,
D02,,,
D02,,,
D03,21623,0.097750,
D03,,,
D03,,,
D03,,,
D04,14405,0.088750,
D04,,,
D04,,,
D04,,,
D05,16843,0.091750,
D05,,,
D05,,,
D05,,,
D06,23333,0.10100,
D06,,,
D06,,,
D06,,,
D07,27605,0.11125,
D07,,,
D07,,,
D07,,,
D08,17064,0.099750,
D08,,,
D08,,,
D08,,,
D09,33003,0.11875,
D09,,,
D09,,,
D09,,,
D10,21840,0.12125,
D10,,,
D10,,,
D10,,,
D11,15736,0.099000,
D11,,,
D11,,,
D11,,,
D12,20046,0.11400,
D12,,,
D12,,,
D12,,,
E01,18070,0.10450,
E01,,,
E01,,,
E01,,,
E02,27517,0.096750,
E02,,,
E02,,,
E02,,,
E03,26968,0.10325,
E03,,,
E03,,,
E03,,,
E04,39636,0.11525,
E04,,,
E04,,,
E04,,,
E05,33026,0.10800,
E05,,,
E05,,,
E05,,,
E06,10003,0.084000,
E06,,,
E06,,,
E06,,,
E07,15785,0.098750,
E07,,,
E07,,,
E07,,,
E08,24652,0.11950,
E08,,,
E08,,,
E08,,,
E09,12623,0.091750,
E09,,,
E09,,,
E09,,,
E10,26191,0.11375,
E10,,,
E10,,,
E10,,,
E11,14543,0.10250,
E11,,,
E11,,,
E11,,,
E12,23414,0.11725,
E12,,,
E12,,,
E12,,,
F01,40710,0.12075,
F01,,,
F01,,,
F01,,,
F02,28846,0.10325,
F02,,,
F02,,,
F02,,,
F03,119374,0.25875,
F03,,,
F03,,,
F03,,,
F04,23391,0.090250,
F04,,,
F04,,,
F04,,,
F05,22603,0.10100,
F05,,,
F05,,,
F05,,,
F06,19409,0.10100,
F06,,,
F06,,,
F06,,,
F07,8834,0.097250,
F07,,,
F07,,,
F07,,,
F08,9752,0.091250,
F08,,,
F08,,,
F08,,,
F09,29685,0.11950,
F09,,,
F09,,,
F09,,,
F10,79291,0.15950,
F10,,,
F10,,,
F10,,,
F11,23360,0.11175,
F11,,,
F11,,,
F11,,,
F12,38253,0.13900,
F12,,,
F12,,,
F12,,,
G01,12716,0.097500,
G01,,,
G01,,,
G01,,,
G02,18336,0.098750,
G02,,,
G02,,,
G02,,,
G03,22526,0.099000,
G03,,,
G03,,,
G03,,,
G04,39083,0.13500,
G04,,,
G04,,,
G04,,,
G05,8352,0.079250,
G05,,,
G05,,,
G05,,,
G06,37121,0.11700,
G06,,,
G06,,,
G06,,,
G07,15936,0.10675,
G07,,,
G07,,,
G07,,,
G08,22372,0.10575,
G08,,,
G08,,,
G08,,,
G09,6717,0.081500,
G09,,,
G09,,,
G09,,,
G10,21445,0.11325,
G10,,,
G10,,,
G10,,,
G11,14756,0.11325,
G11,,,
G11,,,
G11,,,
G12,20851,0.12750,
G12,,,
G12,,,
G12,,,
H01,30509,0.13575,
H01,,,
H01,,,
H01,,,
H02,14569,0.097500,
H02,,,
H02,,,
H02,,,
H03,34404,0.11000,
H03,,,
H03,,,
H03,,,
H04,170173,0.47550,
H04,,,
H04,,,
H04,,,
H05,62947,0.14275,
H05,,,
H05,,,
H05,,,
H06,17754,0.099750,
H06,,,
H06,,,
H06,,,
H07,35274,0.11525,
H07,,,
H07,,,
H07,,,
H08,29783,0.11450,
H08,,,
H08,,,
H08,,,
H09,11494,0.10725,
H09,,,
H09,,,
H09,,,
H10,44902,0.15025,
H10,,,
H10,,,
H10,,,
H11,8871,0.10400,
H11,,,
H11,,,
H11,,,
H12,12804,0.11875,
H12,,,
H12,,,
H12,,,

Basic assay information 
Assay ID: ,,,,1936
Assay Started: ,,,,23/03/2022 1:19:54 p.m.
Assay Finished: ,,,,23/03/2022 1:22:18 p.m.
Assay Exported: ,,,,23/03/2022 1:22:42 p.m.
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100161
Protocol Name: ,,,,Mark_Pyo_AbsEm
Serial#: ,,,,="23000214"



Protocol information
Protocol:
Protocol name,,,,Mark_Pyo_AbsEm
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 

 - - Undefined

Calculations:
Plate,,,,1
 Formula index,,,,Calc 1
 Formula name,,,,Average within well
 Formula,,,,Average within well where Measurement: C

Auto export parameters:
Export format,,,,ListC
Picture,,,,No
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,D:\mark\2022_AbsEM\Day4\D2_P3_R1.csv
Exported data,,,,Well MeasA:Result Calc1:Average within well

Operations:
Plate 1
  Shake
    Duration,,,,3 s
    Speed,,,,60
    Diameter,,,,3 mm
    Shake mode,,,,Linear
    Plate location,,,,Inside
    First assay/plate repeat affected,,,,1
    Last assay/plate repeat affected,,,,1
  Measurement
    Meas,,,,A
    Tech,,,,Fluorescence
  Scan measurement
    Meas,,,,C
    Tech,,,,Absorbance
    Number of horizontal points (X),,,,2
    Number of vertical points (Y),,,,2
    Distance between points,,,,0.72 mm
    Scan mode,,,,Rectangle

Measurements:
Meas ,,,,A
Exc. filter,,,,N/A
Using of excitation filter,,,,Top
Excitation wavelength,,,,400 nm
Emission wavelength,,,,440 nm
Measurement height,,,,9.5 mm
Number of flashes,,,,40
Number of flashes integrated,,,,40
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
Emission light,,,,100%
Reference AD gain,,,,2
Reference signal,,,,1525564
Last edited,,,,16/03/2022 1:06:00 p.m.
Last edited by,,,,EnSpire
Factory preset,,,,No

Meas ,,,,C
Exc. filter,,,,N/A
Excitation wavelength,,,,400 nm
Measurement height,,,,7.5 mm
Number of flashes,,,,40
Number of flashes integrated,,,,40
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
Reference AD gain,,,,1
Reference signal,,,,966
Last edited,,,,16/03/2022 1:08:31 p.m.
Last edited by,,,,EnSpire
Factory preset,,,,No

Filters:
Monochromator cutoff 230,,,,140
Filter polarization,,,,None
Description,,,,X230co Longpass=230nm  Tmin=90%
Used with
Last edited,,,,1/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Monochromator cutoff 360,,,,141
Filter polarization,,,,None
Description,,,,X360co Longpass=360nm  Tmin=90%
Used with
Last edited,,,,1/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Monochromator cutoff 585,,,,142
Filter polarization,,,,None
Description,,,,X585co Longpass=585nm  Tmin=75%
Used with
Last edited,,,,1/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Instrument:
Serial number,,,,23000214
Nickname,,,,EnSpire






Exported with EnSpire Workstation version 4.10.3005.1440
