Plate information ,,,,,,,,,,,,
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,,,,,
1,1,,13/04/2022 12:18:41 p.m.,27.85,27.85,31.6,31.7,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Background information,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,
1,Meas C,0,3139,40,00:00.0,De=1st Ex=Btm Em=N/A,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Well,MeasA:Result,Calc1:Average within well,,,,,,,,,,
A01,141,0.0525,,,,,,,,,,
A01,,,,,,,,,,,,
A01,,,,,,,,,,,,
A01,,,,,,,,,,,,
A02,126,0.05325,,,,,,,,,,
A02,,,,,,,,,,,,
A02,,,,,,,,,,,,
A02,,,,,,,,,,,,
A03,146,0.0545,,,,,,,,,,
A03,,,,,,,,,,,,
A03,,,,,,,,,,,,
A03,,,,,,,,,,,,
A04,136,0.05675,,,,,,,,,,
A04,,,,,,,,,,,,
A04,,,,,,,,,,,,
A04,,,,,,,,,,,,
A05,118,0.05375,,,,,,,,,,
A05,,,,,,,,,,,,
A05,,,,,,,,,,,,
A05,,,,,,,,,,,,
A06,142,0.05475,,,,,,,,,,
A06,,,,,,,,,,,,
A06,,,,,,,,,,,,
A06,,,,,,,,,,,,
A07,126,0.05325,,,,,,,,,,
A07,,,,,,,,,,,,
A07,,,,,,,,,,,,
A07,,,,,,,,,,,,
A08,144,0.0525,,,,,,,,,,
A08,,,,,,,,,,,,
A08,,,,,,,,,,,,
A08,,,,,,,,,,,,
A09,133,0.0535,,,,,,,,,,
A09,,,,,,,,,,,,
A09,,,,,,,,,,,,
A09,,,,,,,,,,,,
A10,128,0.053,,,,,,,,,,
A10,,,,,,,,,,,,
A10,,,,,,,,,,,,
A10,,,,,,,,,,,,
A11,126,0.053,,,,,,,,,,
A11,,,,,,,,,,,,
A11,,,,,,,,,,,,
A11,,,,,,,,,,,,
A12,155,0.05475,,,,,,,,,,
A12,,,,,,,,,,,,
A12,,,,,,,,,,,,
A12,,,,,,,,,,,,
