Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",13/04/2022 12:11:50 p.m.,28.05,27.95,31.5,31.7,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas C,0,3132,40,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,MeasA:Result,Calc1:Average within well,
A01,182908,0.41850,
A01,,,
A01,,,
A01,,,
A02,156686,0.31225,
A02,,,
A02,,,
A02,,,
A03,150868,0.29975,
A03,,,
A03,,,
A03,,,
A04,35773,0.10025,
A04,,,
A04,,,
A04,,,
A05,20631,0.079500,
A05,,,
A05,,,
A05,,,
A06,29312,0.087500,
A06,,,
A06,,,
A06,,,
A07,58017,0.11000,
A07,,,
A07,,,
A07,,,
A08,166939,0.37150,
A08,,,
A08,,,
A08,,,
A09,132280,0.23700,
A09,,,
A09,,,
A09,,,
A10,23681,0.085500,
A10,,,
A10,,,
A10,,,
A11,159761,0.35500,
A11,,,
A11,,,
A11,,,
A12,177254,0.42575,
A12,,,
A12,,,
A12,,,
B01,156017,0.34000,
B01,,,
B01,,,
B01,,,
B02,145124,0.27075,
B02,,,
B02,,,
B02,,,
B03,31032,0.095250,
B03,,,
B03,,,
B03,,,
B04,146095,0.27200,
B04,,,
B04,,,
B04,,,
B05,157762,0.31475,
B05,,,
B05,,,
B05,,,
B06,122509,0.21100,
B06,,,
B06,,,
B06,,,
B07,22354,0.081500,
B07,,,
B07,,,
B07,,,
B08,142310,0.26975,
B08,,,
B08,,,
B08,,,
B09,148409,0.28700,
B09,,,
B09,,,
B09,,,
B10,147170,0.27925,
B10,,,
B10,,,
B10,,,
B11,104695,0.17825,
B11,,,
B11,,,
B11,,,
B12,154833,0.32100,
B12,,,
B12,,,
B12,,,
C01,50535,0.10475,
C01,,,
C01,,,
C01,,,
C02,47408,0.092000,
C02,,,
C02,,,
C02,,,
C03,153157,0.28625,
C03,,,
C03,,,
C03,,,
C04,158314,0.31900,
C04,,,
C04,,,
C04,,,
C05,154543,0.30350,
C05,,,
C05,,,
C05,,,
C06,14271,0.077750,
C06,,,
C06,,,
C06,,,
C07,155073,0.31625,
C07,,,
C07,,,
C07,,,
C08,62438,0.11050,
C08,,,
C08,,,
C08,,,
C09,44397,0.091250,
C09,,,
C09,,,
C09,,,
C10,61429,0.11000,
C10,,,
C10,,,
C10,,,
C11,151606,0.30425,
C11,,,
C11,,,
C11,,,
C12,84781,0.14025,
C12,,,
C12,,,
C12,,,
D01,73078,0.12850,
D01,,,
D01,,,
D01,,,
D02,98441,0.17000,
D02,,,
D02,,,
D02,,,
D03,16742,0.084000,
D03,,,
D03,,,
D03,,,
