CAL1,"757.6597(R9298,S4789)","1046.9272(R11978,S7075)","1534.4783(R13415,S4640)"
CAL2,"757.6734(R9790,S3544)","1046.9435(R12612,S6148)","1534.4843(R14171,S3515)"
CAL5,"757.6744(R9797,S2622)","1046.9489(R12322,S5290)","1534.5127(R13232,S3559)"
CAL6,"757.6062(R9389,S2534)","1046.8556(R12519,S5287)","1534.3763(R14219,S3789)"
CAL7,"757.6308(R9781,S6840)","1046.8870(R12251,S5949)","1534.4205(R12748,S3469)"
A1,N,,
A2,"1332.1105(R15954,S472)",,
A3,"1290.0721(R15317,S122)",,
A4,"1332.1057(R16534,S150)",,
A5,1304.1,,
A6,"1332.1177(R14135,S687)",,
A7,"1332.1211(R15114,S1016)",,
A8,"991.8074(R11852,S299)",,
A9,"991.8046(R12054,S212)",,
A10,"991.8046(R12054,S212)",,
A11,N,,
A12,"991.8046(R12054,S212)",,
A13,1304.1,,
A14,"1332.1180(R15747,S144)",,
A15,N,,
A16,1332.1,,
A17,1361.1,,
A18,1334.1,,
A19,N,,
A20,1290.1,,
A21,1304.1,,
A22,"1332.1755(R16971,S62)",,
A23,N,,
A24,N,,
B1,"991.7871(R16446,S50)",,
B2,"1332.0881(R15135,S304)",,
B3,"1391.1255(R16005,S58)",,
B4,"991.8053(R11631,S1070)",,
B5,N,,
B6,"1332.1112(R14948,S262)","991.7933(R12538,S141)",
B7,"1346.1259(R16122,S211)",,
B8,"991.7942(R11508,S408)",,
B9,N,,
B10,"1332.1145(R15135,S1436)",,
B11,N,,
B12,"1290.0367(R13905,S344)",,
B13,"1346.1360(R17393,S292)",,
B14,1389.1,"991.8011(R9999,S98)",
B15,1304.1,,
B16,"1290.0648(R13796,S283)",,
B17,1304.1,,
B18,"1332.1399(R16559,S657)",,
B19,"991.8142(R11459,S284)",,
B20,"991.8142(R11459,S284)",,
B21,"1332.1733(R14045,S2494)",,
B22,"1332.1610(R14747,S1312)",,
B23,"1304.1406(R14675,S316)",,
B24,"991.8315(R11403,S70)",,
C1,1332.1,,
C2,N,,
C3,1290.1,,
C4,"1332.1031(R13883,S3165)",,
C5,1362.1,,
C6,"1332.0759(R12777,S64)","991.7677(R11475,S107)",
C7,"1290.0468(R13181,S53)",,
C8,"1332.0927(R14989,S804)",,
C9,1346.1,,
C10,"991.7874(R13275,S1403)",,
C11,"991.7889(R12144,S63)",,
C12,"1332.0941(R16047,S500)",,
C13,N,,
C14,"1332.1018(R16409,S592)",,
C15,"1332.1180(R13640,S1462)",,
C16,"1332.1180(R13640,S1462)",,
C17,"1391.1527(R15094,S843)",,
C18,"991.8224(R13948,S655)",,
C19,"991.8224(R13948,S655)",,
C20,N,,
C21,"1320.1160(R14457,S1795)",,
C22,"1332.1439(R15589,S1118)",,
C23,"1332.1433(R15177,S807)",,
C24,"1332.1506(R15348,S545)",,
D1,"1304.0127(R15663,S282)",,
D2,"991.7843(R9113,S377)",,
D3,"1290.0160(R14926,S656)",,
D4,"1332.0703(R14339,S413)",,
D5,"1304.0308(R17483,S537)",,
D6,"991.7737(R9730,S289)",,
D7,"1290.0189(R14476,S134)",,
D8,"991.7936(R12347,S2014)",,
D9,"1380.1179(R14569,S858)",,
D10,"991.7806(R11817,S604)",,
D11,1290.1,,
D12,"991.7745(R12865,S974)",,
D13,"1304.0718(R14075,S1184)",,
D14,"991.7907(R11198,S253)",,
D15,"1346.1200(R15294,S66)",,
D16,"991.7888(R13030,S1109)",,
D17,1346.1,,
D18,1391.1,"991.8179(R12081,S508)",
D19,1396.1,"991.8179(R12081,S508)",
D20,"991.8179(R12081,S508)",,
D21,"1320.1334(R13758,S1662)",,
D22,"991.8134(R12264,S753)",,
D23,"1320.1154(R14419,S1534)",,
D24,991.8,,
E1,"991.7535(R13275,S1969)",,
E2,"991.7535(R13275,S1969)",,
E3,1334.1,"991.7535(R13275,S1969)",
E4,"991.7535(R13275,S1969)",,
E5,"1332.0797(R13918,S2432)",,
E6,"1332.0641(R15500,S209)",,
E7,"1304.0293(R15849,S157)",,
E8,"1290.0122(R12763,S102)","991.7687(R12245,S134)",
E9,"1346.0911(R12807,S105)",,
E10,"991.7770(R12875,S523)",,
E11,"1362.0854(R19338,S66)","991.7855(R12784,S218)",
E12,"1332.0781(R18126,S102)",,
E13,"1332.0876(R14302,S884)",,
E14,"991.7770(R12794,S1902)",,
E15,"1332.1088(R13778,S3149)",,
E16,1334.1,"991.7914(R13178,S156)",
E17,"1332.1144(R15305,S1899)",,
E18,"1334.1005(R16917,S215)",,
E19,"1332.1245(R15838,S512)",,
E20,"1304.0909(R14112,S1199)",,
E21,"1380.1544(R16267,S583)",,
E22,"1334.1018(R16072,S610)",,
E23,"1332.1664(R11227,S194)",,
E24,"1346.1514(R15273,S280)",,
F1,N,,
F2,"991.7465(R13608,S1140)",,
F3,"1332.0850(R11721,S2945)",,
F4,"991.7538(R11965,S1977)",,
F5,"991.7538(R11965,S1977)",,
F6,"1332.0696(R13657,S213)",,
F7,"1332.0618(R14569,S444)",,
