CAL1,"757.4025(R7570,S2870)","1046.5369(R10675,S10909)","1533.8606(R17093,S15323)"
CAL2,"757.4022(R7529,S3194)","1046.5376(R11445,S6764)","1533.8602(R15804,S10060)"
CAL6,"757.4034(R6779,S1570)","1046.5353(R10413,S5015)","1533.8615(R16528,S9066)"
CAL7,"757.4010(R8831,S3395)","1046.5399(R12352,S14897)","1533.8590(R16338,S17209)"
CAL8,"757.4013(R8300,S3761)","1046.5393(R11663,S12613)","1533.8594(R16233,S16292)"
A1,"991.3491(R11004,S207)",,
A2,"991.3491(R11004,S207)",,
A3,"1289.4139(R12819,S151)","991.3491(R11004,S207)",
A4,"1333.4238(R12608,S1440)",,
A5,"991.3234(R10202,S467)",,
A6,"1379.4308(R13614,S491)",,
A7,"1289.3585(R11854,S88)",,
A8,"1333.4009(R14662,S2242)",,
A9,"991.2883(R10491,S626)",,
A10,"991.2883(R10491,S626)",,
A11,"1289.3716(R13667,S69)","991.2883(R10491,S626)",
A12,"991.2859(R9970,S195)",,
A13,"991.2859(R9970,S195)",,
A14,1361.38,,
A15,"991.2652(R10000,S344)",,
A16,1289.4,,
A17,"991.2705(R9860,S288)",,
A18,"991.2705(R9860,S288)",,
A19,"991.2705(R9860,S288)",,
A20,"991.2705(R9860,S288)",,
A21,"991.2705(R9860,S288)",,
A22,"991.2705(R9860,S288)",,
A23,"991.2705(R9860,S288)",,
A24,"991.2705(R9860,S288)",,
B1,1289.4,,
B2,"1333.4518(R11366,S522)",,
B3,"991.3417(R11209,S91)",,
B4,N,,
B5,1331.4,"991.2963(R11063,S71)",
B6,"991.2963(R11063,S71)",,
B7,"1289.3895(R15625,S234)","991.2963(R11063,S71)",
B8,"991.3051(R10292,S393)",,
B9,N,,
B10,"991.3051(R10292,S393)",,
B11,"1289.3772(R13843,S121)","991.3051(R10292,S393)",
B12,"1379.3926(R12527,S108)",,
B13,N,,
B14,"991.3017(R13613,S127)",,
B15,1289.5,"991.3017(R13613,S127)",
B16,1303.4,,
B17,"991.2736(R9655,S427)",,
B18,"1303.3451(R12817,S224)",,
B19,"991.2682(R9469,S471)",,
B20,"1333.3687(R13653,S223)",,
B21,"1333.3500(R12056,S204)",,
B22,"991.2602(R10424,S456)",,
B23,"991.2602(R10424,S456)",,
B24,"1303.3380(R14686,S238)",,
C1,N,,
C2,"991.3635(R8571,S82)",,
C3,"991.3635(R8571,S82)",,
C4,"991.3635(R8571,S82)",,
C5,"991.3635(R8571,S82)",,
C6,"991.3635(R8571,S82)",,
C7,"991.3635(R8571,S82)",,
C8,"1379.4198(R12783,S490)","991.3106(R9334,S264)",
C9,1289.4,"991.3242(R10404,S417)",
C10,"1319.3916(R12022,S281)",,
C11,"991.3205(R10001,S426)",,
C12,"991.3205(R10001,S426)",,
C13,"991.3205(R10001,S426)",,
C14,N,,
C15,N,,
C16,"991.3205(R10001,S426)",,
C17,"991.3205(R10001,S426)",,
C18,1333.4,"991.3205(R10001,S426)",
C19,"991.2831(R9083,S140)",,
C20,"1319.3615(R13396,S88)",,
C21,"991.2770(R10741,S2322)",,
C22,"1331.3767(R13448,S430)",,
C23,"991.2955(R12165,S259)",,
C24,"1289.3458(R10894,S64)",,
D1,"1333.2291(R10781,S354)",,
D2,"1333.5190(R15235,S10370)",,
D3,N,,
D4,N,,
D5,N,,
D6,"1333.4700(R15947,S10280)",,
D7,"1289.4181(R11895,S886)",,
D8,N,,
D9,"991.3254(R9350,S1113)",,
D10,"1333.4452(R14984,S4082)",,
D11,"1319.4335(R13821,S2470)",,
D12,N,,
D13,"991.3249(R9286,S753)",,
D14,N,,
D15,"1333.4102(R13986,S2861)",,
D16,N,,
D17,"991.3031(R9018,S861)",,
D18,N,,
D19,"1333.3789(R13065,S1189)","991.3031(R9018,S861)",
D20,N,,
D21,"991.2902(R10019,S536)",,
D22,N,,
D23,N,,
D24,N,,
