CAL1,"757.4014(R7873,S371)","1046.5392(R11310,S3128)","1533.8594(R17403,S7115)"
CAL2,"757.4005(R8413,S223)","1046.5410(R10417,S1059)","1533.8585(R18344,S2650)"
CAL6,"757.4017(R8441,S2777)","1046.5385(R11663,S12218)","1533.8597(R15589,S14598)"
CAL2,"757.4003(R9848,S3049)","1046.5413(R13416,S12714)","1533.8584(R16026,S12729)"
CAL6,"757.4008(R8997,S1259)","1046.5405(R13606,S5314)","1533.8588(R17163,S6281)"
A1,"1319.6201(R15312,S5354)",,
A2,"1331.6959(R14985,S7196)",,
A3,"1303.6127(R14791,S1790)",,
A4,"1331.6537(R14076,S7155)",,
A5,"1289.5995(R13845,S2098)",,
A6,"1331.6537(R15561,S9556)",,
A7,"1319.5938(R15014,S2522)",,
A8,"1319.6115(R15827,S804)","991.4767(R11578,S1723)",
A9,"1303.6079(R14201,S2163)",,
A10,"1303.6078(R12881,S872)",,
A11,"1319.5806(R14687,S745)",,
A12,"1319.5861(R14889,S760)",,
A13,"1360.6072(R15062,S190)",,
A14,"1289.5759(R14837,S2037)",,
A15,"1345.6316(R15395,S1378)",,
A16,"1331.6200(R15364,S8862)",,
A17,"1319.5687(R15850,S614)",,
A18,"1331.6404(R15172,S6715)",,
A19,"1303.5609(R15190,S1387)",,
A20,"1303.5576(R15773,S449)",,
A21,"1333.5867(R15430,S4344)",,
A22,"1331.6322(R14241,S5199)",,
A23,"1303.5736(R14628,S30)",,
A24,"1331.6295(R12818,S6301)",,
B1,"1289.4365(R13320,S1584)",,
B2,"1331.6698(R15719,S9109)",,
B3,"1303.6494(R14315,S8880)",,
B4,"1331.6797(R14204,S10228)",,
B5,"1360.6350(R15144,S1403)","1333.6266(R15518,S1167)",
B6,"1332.6289(R14536,S300)",,
B7,"1333.6289(R14904,S5620)",,
B8,"1331.6519(R15925,S7208)",,
B9,"1319.6042(R14510,S5281)",,
B10,"1331.6455(R15109,S12330)",,
B11,"1289.5823(R14775,S579)","1345.6410(R14114,S478)",
B12,"1331.6390(R13896,S8000)",,
B13,"1333.5896(R15948,S261)",,
B14,"1395.6052(R14490,S447)",,
B15,"1303.5863(R15104,S3601)",,
B16,"1331.6295(R14372,S9964)",,
B17,"1345.6194(R22002,S45)",,
B18,"1331.6230(R15385,S10852)",,
B19,"1345.6176(R14353,S191)",,
B20,"1331.6064(R15495,S8912)",,
B21,"1289.5627(R13254,S858)","991.4420(R11703,S2574)",
B22,"1303.5830(R15365,S6930)",,
B23,"1289.5624(R13474,S2097)",,
B24,"1331.6021(R15786,S10442)",,
C1,"1289.5916(R14432,S966)",,
C2,"1303.6190(R14811,S1913)",,
C3,"991.4654(R10800,S2600)",,
C4,"1303.6106(R13744,S1792)",,
C5,"1289.5923(R12743,S530)","991.4626(R10909,S1632)",
C6,"1331.6577(R16209,S7904)",,
C7,"1289.5920(R13509,S1139)",,
C8,"1331.6476(R15628,S7261)",,
C9,"1345.6509(R18101,S92)",,
C10,"1331.6444(R15971,S8387)",,
C11,"1379.6198(R15149,S1215)",,
C12,"1289.5707(R14591,S236)",,
C13,"1360.6145(R15352,S9414)",,
C14,"1331.6169(R14882,S7304)",,
C15,"1289.5612(R14984,S513)","991.4410(R11375,S1359)",
C16,"1303.5730(R15233,S2204)",,
C17,"1360.5928(R16295,S6295)",,
C18,"1303.5829(R15454,S1377)",,
C19,"1379.6049(R15481,S1779)",,
C20,"1303.5764(R15566,S1997)",,
C21,"1289.5537(R14920,S513)","991.4344(R11256,S1295)",
C22,"1331.6322(R14429,S7202)",,
C23,"1289.5560(R14392,S426)",,
C24,"1289.5480(R14591,S3558)",,
D1,"1360.4502(R15478,S8074)",,
D2,"1289.5841(R15156,S1657)",,
D3,"1360.6306(R14763,S1038)",,
D4,"1289.6055(R13720,S2572)",,
D5,"1289.5828(R12413,S361)","991.4626(R11103,S2017)",
D6,"1395.6223(R17428,S218)",,
D7,"1333.5989(R14605,S754)",,
D8,"1331.6465(R14584,S13357)",,
D9,"1319.5876(R14667,S231)",,
D10,"1303.5953(R13905,S2980)",,
D11,"1303.5760(R14873,S463)",,
D12,"1331.6058(R14721,S2638)",,
D13,"1333.5887(R13899,S186)",,
D14,"1331.6289(R13808,S1728)",,
D15,"1303.5853(R14549,S4536)",,
D16,"1331.5875(R14661,S3106)",,
D17,"1395.6129(R15661,S6536)",,
D18,"1331.6287(R14642,S7853)",,
D19,"1289.5640(R14591,S1386)",,
D20,"1331.6113(R15407,S7758)",,
D21,"1333.6082(R12718,S10860)",,
D22,"1331.5990(R15494,S8038)",,
D23,"1303.5682(R15521,S248)",,
D24,"1331.5989(R14203,S9847)",,
E1,"1331.4731(R13221,S1101)",,
E2,"1331.6442(R14964,S2332)",,
E3,"1319.5947(R14002,S201)",,
E4,"1395.6454(R14273,S1471)",,
E5,"1319.5886(R15355,S467)",,
E6,"1331.6262(R14167,S3631)",,
E7,"991.4673(R12428,S4689)",,
E8,"1331.6257(R14681,S10078)",,
E9,"1346.5902(R14363,S2623)",,
E10,"1331.6296(R15650,S7945)",,
E11,"1361.5688(R16977,S603)",,
E12,"1369.5760(R15669,S755)",,
E13,"1333.5914(R18642,S93)",,
E14,"1369.5853(R15604,S872)",,
E15,"1333.5934(R13741,S1809)",,
E16,"1331.6147(R15407,S8311)",,
E17,"1379.6055(R14415,S565)",,
E18,"1303.5913(R14873,S5977)",,
E19,"1319.5687(R15333,S411)",,
E20,"1319.5559(R15553,S257)",,
E21,"1333.5870(R14624,S7763)",,
E22,"1303.5812(R15431,S5578)",,
E23,"1333.5984(R13554,S5143)",,
E24,"1289.5380(R15673,S716)",,
F1,"1333.4321(R14603,S537)",,
F2,"1333.5958(R13621,S903)",,
F3,"1379.6288(R15376,S1226)",,
F4,"1333.5887(R14904,S116)",,
F5,"1333.6155(R15237,S14329)",,
F6,"1333.5876(R14904,S697)",,
F7,"1361.5779(R13602,S105)",,
F8,"1289.5645(R14199,S686)",,
F9,"1333.5956(R15194,S1136)",,
F10,"1333.5813(R14508,S930)",,
F11,"1379.5988(R16426,S277)",,
F12,"1289.5413(R16902,S229)","991.4281(R12504,S1148)",
F13,"1303.5562(R15211,S223)",,
F14,"1303.5774(R14709,S1773)",,
F15,"1303.5651(R15891,S642)",,
F16,"1289.5477(R14029,S131)","991.4307(R12014,S764)",
F17,"1303.5614(R15147,S164)",,
F18,"1289.5476(R15981,S433)","991.4344(R12790,S983)",
F19,"1379.5991(R16426,S1124)",,
F20,"1333.5785(R16859,S328)",,
F21,"1319.5548(R13894,S128)",,
F22,"1289.5385(R16277,S158)",,
F23,"1333.5426(R16018,S68)","991.4119(R11072,S1281)",
F24,"1289.5339(R15885,S494)","991.4211(R13491,S1696)",
G1,"1331.4485(R14257,S371)",,
G2,"1289.5754(R14180,S1147)",,
G3,"1331.6382(R14525,S5684)",,
G4,"1333.5874(R15452,S334)",,
G5,"1289.5853(R13205,S216)",,
G6,"1333.6008(R14042,S434)",,
G7,"1331.6353(R15130,S6054)",,
G8,"1289.5591(R14295,S1591)",,
G9,"1289.5515(R14275,S457)",,
G10,"1319.5620(R14471,S2751)",,
G11,"1289.5480(R14237,S1182)",,
G12,"1333.5908(R14924,S6026)",,
G13,"1331.6117(R15342,S8524)",,
G14,"1333.5668(R14624,S925)",,
G15,"1379.5846(R15895,S1389)",,
G16,"1333.5713(R15971,S5354)",,
G17,"1331.6047(R15901,S6131)",,
G18,"1379.5986(R16817,S1021)",,
G19,"1303.5586(R16607,S591)",,
G20,"1346.6073(R15406,S371)",,
G21,"1379.5757(R16546,S1467)",,
G22,"1379.5784(R16030,S205)",,
G23,"1395.5557(R17269,S1329)",,
G24,"991.4183(R12630,S3597)",,
H1,"1331.4384(R13929,S2390)",,
H2,"1388.6586(R14870,S798)",,
H3,"1331.6488(R15005,S8073)",,
H4,"1388.6418(R14547,S531)",,
H5,"1331.6305(R14701,S9952)",,
H6,"991.4352(R10982,S351)",,
H7,"1331.6252(R15067,S8439)",,
H8,"1379.5981(R15460,S2645)",,
H9,"1331.6036(R15256,S8182)",,
H10,"1333.5804(R14280,S2996)",,
H11,"1331.6219(R14525,S8811)",,
H12,"1379.6002(R13390,S480)",,
H13,"1289.5365(R14392,S1462)",,
H14,"991.4189(R12352,S425)",,
H15,"1289.5392(R13954,S1082)",,
H16,"991.4322(R11503,S3337)",,
H17,"1379.5947(R15917,S4327)",,
H18,"1333.5822(R15496,S7024)",,
H19,"1379.6044(R13901,S1720)",,
H20,"1379.5842(R15985,S2089)",,
H21,"1331.6212(R14662,S8844)",,
H22,"1303.5731(R14893,S2692)",,
H23,"1331.5986(R15472,S7994)",,
H24,N,"1331.5986(R15472,S7994)",
I1,"1319.6024(R14432,S9999)",,
I2,"1331.6445(R14801,S9225)",,
I3,"1303.6091(R14182,S3036)",,
I4,"1331.6371(R14821,S7110)",,
I5,"1289.5645(R12898,S3363)",,
I6,"1331.6187(R14701,S6680)",,
I7,"1319.5674(R13378,S2243)",,
I8,"1319.5524(R15598,S227)","991.4288(R12428,S862)",
I9,"1303.5778(R14529,S6064)",,
I10,"1303.5508(R15211,S325)",,
I11,"1319.5601(R14020,S894)",,
I12,"1319.5448(R14687,S572)",,
I13,"1360.5712(R15102,S251)",,
I14,"1289.5309(R14122,S1400)",,
I15,"1345.6117(R14485,S1575)",,
I16,"1331.5958(R16041,S7787)",,
I17,"1319.5571(R14992,S890)",,
