Unique_ID,Substitution,Library,Sublibrary,ScreeningPlate,ScreeningWell,MALDI,Msamples,Substrate,Abs,Aerror,Asamples,Fluoro,Ferror,Fsamples
H_C1-A10_RX_3_1_G07,C1-A10,RX,3,D4P4,F08,1289.5333759999999,5,Gly,1.9979905234698432,3.709349506248027,5,12.049937331856723,4.151804143289228,5
H_C1-A10_RX_3_1_G06,C1-A10,RX,3,D3P2,G01,991.3252866666666,1,NA,-0.11884168504015857,4.0051115653739275,3,0.8334979175211082,3.070702592674888,3
H_C4-A10_SL_4_1_G02,C4-A10,SL,4,D1P2,F12,NA,0,NA,5.722723617558266,2.6886828873890076,3,12.940352100358638,3.0648275997718772,3
H_C4-A10_SL_3_3_G06,C4-A10,SL,3,D1P2,E06,991.4005733333332,2,NA,7.88301657576199,0.640670863484369,3,18.702279603124467,2.7826597179238424,3
H_C4-A10_SL_4_1_G04,C4-A10,SL,4,D1P2,G01,991.4782733333332,1,NA,1.0258246488499803,0.48501691806512415,3,2.6911692607701103,2.784114551865448,3
H_C1-A10_RX_3_1_G02,C1-A10,RX,3,D3P2,F11,991.3943866666666,1,NA,0.06642236257860017,2.8155752072594824,3,1.6398137656468557,3.1218897028819117,3
H_C1-A10_RX_3_1_H12,C1-A10,RX,3,D4P4,F09,1289.504236,5,Gly,4.306512758491619,3.3896821506965877,5,20.070348094721474,6.625154717177213,5
H_C4-A10_SL_4_1_G08,C4-A10,SL,4,D4P2,A01,1319.5984946666667,5,Ser,-0.5635760203891601,1.035802618861775,5,4.329294434890497,3.019411409475815,5
H_C4-A10_RX_4_3_E07,C4-A10,RX,4,D3P2,B09,991.4059866666666,2,NA,1.0161634675167335,3.9476008409391556,3,2.349479258412312,3.485170303622169,3
H_C1-A10_RX_3_1_H11,C1-A10,RX,3,D3P2,G06,991.3716366666665,2,NA,-0.2759127217406761,3.60190985177091,3,3.132200517270242,3.300375963526427,3
H_C1-A10_RX_3_1_G04,C1-A10,RX,3,D3P2,F12,991.3500866666666,2,NA,2.3549731547969537,2.8652696092379495,3,5.504787811650509,2.6190414860566054,3
H_C1-A10_RX_3_3_G12,C1-A10,RX,3,D3P3,D03,NA,0,NA,-1.3973090958909247,1.1291014520730098,3,0.5201815246904439,2.5812550527852203,3
H_C4-A10_SL_3_2_A10,C4-A10,SL,3,D4P1,G06,1331.5963244444445,6,Val,15.19831680929878,5.155447738689418,5,48.19193807289929,6.680985379330654,5
H_C1-A10_RX_3_3_G10,C1-A10,RX,3,D3P3,D02,991.4580933333332,1,NA,-1.4751461912962902,1.3631088766024926,3,2.7481651947607566,2.1097302454056552,3
H_C4-A10_SL_3_2_A12,C4-A10,SL,3,D4P1,G07,1345.6038146666665,5,Xle,-0.7593086440565073,1.4836261550566257,5,6.2896508223351715,2.684535441049256,5
H_C1-A10_SL_3_3_F09,C1-A10,SL,3,D4P4,G12,1104.7422166666668,6,NA,16.421302828664544,4.233263126496595,5,34.28363231899864,5.908761515443889,5
H_C1-A10_SL_1_3_A05,C1-A10,SL,1,D2P4,H12,991.4291499999999,2,NA,4.086521904478771,2.7915644411164293,3,6.365657555650227,2.9852056392617037,3
H_C1-A10_RX_2_1_E02,C1-A10,RX,2,D4P3,C08,1289.5186477777777,6,Gly,2.7034187506732055,2.0087995738321065,5,15.840464128919368,5.625297100394473,5
H_C1-A10_RX_2_1_E04,C1-A10,RX,2,D4P3,C09,1360.5634644444442,6,Gln,13.235648006620755,6.199554507885735,5,45.42162471877425,11.57779317706034,5
H_C1-A10_RX_2_1_E06,C1-A10,RX,2,D2P3,F11,991.3705366666666,2,NA,3.3302145289988765,0.6019308583894051,3,6.995733102616453,1.5618159458779088,3
H_C4-A10_RX_2_1_E12,C4-A10,RX,2,D4P1,A07,1319.5515546666666,5,Ser,1.9494579516808888,1.6614806782130072,5,16.21568667815272,4.440861392902888,5
H_C4-A10_RX_2_2_G09,C4-A10,RX,2,D3P1,B08,1289.4517,2,Gly,1.034169467434973,0.25673199853512607,3,9.75535842647186,1.376045001393795,3
H_C4-A10_RX_2_1_E10,C4-A10,RX,2,D4P1,A06,1331.614891111111,6,Val,56.96514814325781,13.063536235258063,5,87.52985817113304,12.463955057533173,5
H_C1-A10_SL_2_2_A09,C1-A10,SL,2,D4P3,F07,1303.5085186666668,5,Ala,-0.9982460113331809,1.4569055424066715,6,8.64561516899761,3.7099814840267156,6
H_C1-A10_SL_1_3_D05,C1-A10,SL,1,D4P3,F01,1333.4691333333333,6,Thr,48.648179959810044,7.526678863356109,6,87.30650824690427,7.323297235588692,6
H_C1-A10_RX_4_2_B03,C1-A10,RX,4,D2P4,C01,1331.40645,2,Val,1.3304063285439744,0.8776026292073011,3,13.196836418461507,8.486852925463918,3
