Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",12/03/2022 10:38:32 a.m.,25.55,25.55,29.8,29.9,


No background information available.


Well,MeasA:Result,
A01,6502,
A02,25306,
A03,5728,
A04,5009,
A05,33664,
A06,3240,
A07,6129,
A08,8538,
A09,5945,
A10,5338,
A11,13546,
A12,4665,
B01,4683,
B02,17543,
B03,7208,
B04,4795,
B05,7425,
B06,7444,
B07,8106,
B08,5565,
B09,5551,
B10,8082,
B11,4379,
B12,7347,
C01,7515,
C02,8956,
C03,6735,
C04,8186,
C05,5228,
C06,3421,
C07,7222,
C08,5124,
C09,32233,
C10,37819,
C11,6804,
C12,5143,
D01,3428,
D02,5254,
D03,5776,
D04,8388,
D05,8352,
D06,5675,
D07,11744,
D08,5295,
D09,10574,
D10,6421,
D11,5078,
D12,5131,
E01,42243,
E02,5894,
E03,6240,
E04,92357,
E05,4794,
E06,5207,
E07,6748,
E08,8953,
E09,5765,
E10,7337,
E11,4903,
E12,7044,
F01,7992,
F02,7515,
F03,5408,
F04,6996,
F05,18264,
F06,5793,
F07,6438,
F08,5944,
F09,13072,
F10,5804,
F11,6966,
F12,7618,
G01,7889,
G02,4764,
G03,6961,
G04,5654,
G05,5747,
G06,6997,
G07,4503,
G08,7569,
G09,7060,
G10,12390,
G11,5635,
G12,5586,
H01,9942,
H02,4653,
H03,6054,
H04,4832,
H05,11667,
H06,5559,
H07,9625,
H08,17946,
H09,6944,
H10,5751,
H11,3282,
H12,5417,

Basic assay information 
Assay ID: ,,,,1856
Assay Started: ,,,,12/03/2022 10:37:57 a.m.
Assay Finished: ,,,,12/03/2022 10:38:44 a.m.
Assay Exported: ,,,,12/03/2022 10:39:44 a.m.
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100160
Protocol Name: ,,,,Mark_Pyo_colony
Serial#: ,,,,="23000214"



Protocol information
Protocol:
Protocol name,,,,Mark_Pyo_colony
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 

 - - Undefined

Calculations:
No calculations.

Auto export parameters:
Export format,,,,ListC
Picture,,,,No
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,D:\mark\2022_PAO1_colony_screen\Day3\CA-SL4-1.csv
Exported data,,,,Well MeasA:Result

Operations:
Plate 1
  Measurement
    Meas,,,,A
    Tech,,,,Fluorescence

Measurements:
Meas ,,,,A
Exc. filter,,,,N/A
Using of excitation filter,,,,Top
Excitation wavelength,,,,400 nm
Emission wavelength,,,,440 nm
Measurement height,,,,9.5 mm
Number of flashes,,,,40
Number of flashes integrated,,,,40
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
Emission light,,,,100%
Reference AD gain,,,,2
Reference signal,,,,1534646
Last edited,,,,2/03/2022 2:21:00 p.m.
Last edited by,,,,EnSpire
Factory preset,,,,No

Filters:
Monochromator cutoff 230,,,,140
Filter polarization,,,,None
Description,,,,X230co Longpass=230nm  Tmin=90%
Used with
Last edited,,,,1/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Monochromator cutoff 360,,,,141
Filter polarization,,,,None
Description,,,,X360co Longpass=360nm  Tmin=90%
Used with
Last edited,,,,1/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Monochromator cutoff 585,,,,142
Filter polarization,,,,None
Description,,,,X585co Longpass=585nm  Tmin=75%
Used with
Last edited,,,,1/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Instrument:
Serial number,,,,23000214
Nickname,,,,EnSpire






Exported with EnSpire Workstation version 4.10.3005.1440
