Unique_ID,Substitution,Library,Sublibrary,Plate,Well,fwd_HEG,fwd_RPG,fwd_GC,fwd_PID,fwd_aaPID,rev_HEG,rev_RPG,rev_GC,rev_PID,rev_aaPID
H_C4-A10_RX_2_3_H06,C4-A10,RX,2,3,H06,0.2773890730494807,0.3284483556664818,62.0833333333,58.2799634035,47.256097561,0.2906485657438372,0.3510263502056062,62.0,55.9338521401,43.8485804416
U_C4-A10_SL_4_0_C8,C4-A10,SL,4,0,C8,0.33078431725120544,0.385510448769266,65.404040404,53.249475891,33.8129496403,0.31166737529918676,0.3556134623274915,68.9696969697,53.7282941777,38.7205387205
U_C4-A10_SL_4_0_C9,C4-A10,SL,4,0,C9,0.24159465238037955,0.27857560496383915,70.703125,58.6881472957,41.0256410256,NA,NA,NA,NA,NA
U_C4-A10_SL_4_0_C6,C4-A10,SL,4,0,C6,0.32890242613593046,0.3651562916730128,67.5105485232,50.5647263249,30.6748466258,0.40883910773968096,0.4525859949826505,68.0735930736,54.4280442804,36.3363363363
H_C4-A10_RX_3_2_E03,C4-A10,RX,3,2,E03,0.2687577932271619,0.3206415687554763,62.5621890547,60.0222717149,48.5507246377,0.29741567896103777,0.3579370938634572,62.2619047619,56.3730569948,43.537414966
U_C4-A10_SL_4_0_C4,C4-A10,SL,4,0,C4,0.2869236637168004,0.3629531931535203,58.3058305831,52.537593985,46.4743589744,0.3456736326843988,0.3977045095605221,64.2599277978,54.1836734694,38.6440677966
U_C4-A10_SL_4_0_C5,C4-A10,SL,4,0,C5,0.30140843483418245,0.36244449185725314,60.9427609428,53.0476190476,39.6774193548,0.21853757708612004,0.2688780043842789,64.0350877193,55.1855375833,40.9785932722
H_C4-A10_SL_3_2_H08,C4-A10,SL,3,2,H08,0.3156920631748552,0.39818091233263087,55.7851239669,56.1963190184,47.9674796748,NA,NA,NA,NA,NA
U_C4-A10_SL_4_0_C3,C4-A10,SL,4,0,C3,0.34957072360505376,0.402653930860884,62.1621621622,57.8325123153,48.4949832776,0.3318924563252023,0.3876451371785825,63.5135135135,56.25,42.8115015974
U_C1-A10_SL_3_0_C6,C1-A10,SL,3,0,C6,0.29762631642443926,0.34384350726230417,67.2131147541,57.183908046,47.1153846154,0.2964250517119602,0.35270650994515507,62.6229508197,54.6132339236,31.9018404908
U_C1-A10_RX_2_0_H11,C1-A10,RX,2,0,H11,0.27767861581828035,0.3468410606029664,59.8958333333,55.9198542805,48.0122324159,0.20981474466407973,0.2486958434942672,65.3935185185,56.4336372847,38.961038961
U_C1-A10_RX_4_0_E10,C1-A10,RX,4,0,E10,NA,NA,NA,NA,NA,0.2777645275334022,0.3227697458272274,64.4278606965,58.0573951435,51.0791366906
H_C4-A10_RX_2_3_B05,C4-A10,RX,2,3,B05,0.27815667470197075,0.3285855535194949,62.3655913978,58.2699619772,46.8553459119,0.2948467921815467,0.35716514829477564,62.0238095238,56.1658031088,43.1972789116
U_C4-A10_SL_1_0_A12,C4-A10,SL,1,0,A12,0.3165004934498622,0.37039220640072984,65.9115426106,54.1781450872,43.3121019108,0.3399449021227402,0.39307612737317804,66.5532879819,56.815920398,38.9937106918
U_C4-A10_SL_1_0_A11,C4-A10,SL,1,0,A11,0.28807188730011357,0.35412942659175795,59.9358974359,54.2388331814,44.3037974684,0.3288886475312736,0.37867529583471354,63.8225255973,53.2101167315,39.1025641026
U_C4-A10_SL_1_0_A10,C4-A10,SL,1,0,A10,0.3847452662560961,0.41229423077994415,70.9816612729,53.2420091324,35.2024922118,0.35071570898482785,0.37596907748060177,70.8045977011,55.9642147117,39.0322580645
H_C4-A10_RX_4_3_C02,C4-A10,RX,4,3,C02,0.26885566229614294,0.31939529184025767,62.0,56.8816169394,47.4025974026,0.2832113089045021,0.34608595527301855,62.7118644068,55.8505408063,43.9102564103
H_C4-A10_SL_1_3_D01,C4-A10,SL,1,3,D01,0.45751675185648505,0.5032354393250333,65.2933832709,65.4977375566,51.4814814815,0.48085821676440177,0.5082599051746979,67.0212765957,57.8892371996,40.9836065574
U_C1-A10_SL_4_0_B8,C1-A10,SL,4,0,B8,0.3186921446437673,0.36303375618798117,67.2374429224,53.2810969638,37.2937293729,0.3172037534619598,0.37377077259658736,66.5384615385,55.9246954596,39.5104895105
